user_id,data_usage_GB,call_minutes,sms_count,avg_recharge,last_recharge,recharge_time,city,user_type,recommended_plan
1001,7.55,365,11,207.21,407.72,morning,Mumbai,postpaid,combo
1002,19.02,545,24,127.54,307.97,afternoon,Delhi,prepaid,combo
1003,14.67,227,32,147.71,451.15,afternoon,Chennai,postpaid,combo
1004,12.01,363,47,424.88,443.17,afternoon,Hyderabad,postpaid,combo
1005,3.2,586,41,272.76,172.29,evening,Hyderabad,postpaid,combo
1006,3.2,410,43,234.17,321.23,morning,Delhi,prepaid,combo
1007,1.26,109,39,361.27,106.25,afternoon,Hyderabad,postpaid,combo
1008,17.34,430,3,256.24,168.77,afternoon,Delhi,postpaid,combo
1009,12.06,315,4,498.45,417.54,night,Mumbai,prepaid,combo
1010,14.19,259,15,241.01,484.59,evening,Hyderabad,postpaid,data
1011,0.51,438,45,216.51,67.78,afternoon,Mumbai,postpaid,combo
1012,19.4,285,44,450.28,332.39,evening,Mumbai,prepaid,combo
1013,16.67,324,3,103.62,215.58,evening,Mumbai,postpaid,combo
1014,4.33,324,18,83.41,377.83,afternoon,Bangalore,postpaid,combo
1015,3.72,99,43,260.69,221.21,morning,Chennai,postpaid,combo
1016,3.75,404,12,494.33,362.93,night,Delhi,prepaid,combo
1017,6.15,448,2,209.72,432.0,night,Bangalore,postpaid,combo
1018,10.54,260,4,361.72,247.35,night,Delhi,postpaid,combo
1019,8.7,586,14,268.32,262.55,night,Mumbai,postpaid,combo
1020,5.9,245,26,370.72,392.42,night,Hyderabad,postpaid,combo
1021,12.28,86,32,202.83,357.97,night,Bangalore,prepaid,data
1022,2.88,579,19,454.54,426.33,night,Hyderabad,prepaid,combo
1023,5.91,109,40,91.79,486.07,morning,Delhi,prepaid,combo
1024,7.39,470,33,411.67,327.16,afternoon,Hyderabad,prepaid,combo
1025,9.18,407,16,84.65,175.45,morning,Delhi,prepaid,combo
1026,15.73,254,40,494.93,310.74,night,Chennai,postpaid,combo
1027,4.07,390,6,135.9,250.62,night,Bangalore,postpaid,combo
1028,10.33,61,43,220.65,159.17,night,Hyderabad,postpaid,data
1029,11.89,171,36,227.68,160.52,morning,Pune,prepaid,data
